"MonthsonHousingRegister","FamilyType","PeopleonApplication","DisabilityApplicationFlag","AtRiskOfOrExperiencingHomelessnessFlag"
41," Single Person Over ",1,"Yes","No"
46," Single Parent,  Child",2,"No","No"
33," Single Person",1,"Yes","Yes"
35," Single Person",1,"No","No"
33," Single Person",1,"No","No"
33," Single Person Over ",1,"Yes","No"
46," Single Person Over ",1,"Yes","Yes"
33," Single Person Over ",1,"Yes","No"
34," Single Parent, > Children",5,"No","Yes"
46," Single Person Over ",1,"Yes","No"
35," Single Person",1,"No","No"
35," Single Person Over ",1,"Yes","No"
32," Single Person Over ",1,"Yes","No"
37," Single Parent,  Child",2,"No","No"
31," Single Parent, > Children",4,"No","Yes"
47," Single Parent,  Child",2,"No","Yes"
39," Single Person Over ",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
33," Single Person",1,"Yes","Yes"
33," Single Person",1,"No","No"
33," Single Parent,  Child",2,"No","No"
36," Single Person",1,"Yes","Yes"
33," Single Parent,  Children",3,"No","Yes"
31," Single Person",1,"No","Yes"
47," Single Person",1,"No","Yes"
31," Single Parent,  Child",2,"No","No"
31," Single Person Over ",1,"Yes","No"
41," Single Parent,  Child",2,"No","Yes"
33," Single Parent,  Child",2,"No","Yes"
32," Single Person Over ",1,"Yes","No"
35," Single Person",1,"No","Yes"
32," Single Person",1,"No","Yes"
32," Single Person",1,"No","Yes"
40," Single Person",1,"Yes","Yes"
31," Single Person",1,"Yes","Yes"
31," Single Person",1,"No","Yes"
49," Single Person Over ",1,"Yes","No"
33," Single Person",1,"No","No"
38," Single Person",1,"No","Yes"
33," Single Parent,  Children",3,"No","No"
40," Single Person",1,"Yes","No"
31," Single Parent, > Children",4,"No","No"
36," Single Person Over ",1,"Yes","No"
31," Single Parent,  Children",3,"No","No"
32," Single Person Over ",1,"Yes","No"
47," Single Person",1,"Yes","No"
36," Single Person",1,"No","Yes"
33," Single Person Over ",1,"Yes","No"
31," Single Person",1,"No","Yes"
32," Single Parent,  Child",2,"No","Yes"
33," Single Person",1,"Yes","No"
35," Single Parent,  Child",2,"No","Yes"
49," Single Person",1,"No","Yes"
40," Single Parent,  Children",3,"No","Yes"
31," Single Parent,  Child",2,"No","No"
32," Single Person Over ",1,"Yes","Yes"
33," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Children",3,"Yes","Yes"
31," Single Person Over ",1,"Yes","Yes"
31," Single Person Over ",1,"Yes","No"
43," Single Person Over ",1,"Yes","Yes"
43," Single Person Over ",1,"Yes","No"
39," Single Person Over ",1,"Yes","Yes"
48," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Children",3,"No","Yes"
31," Single Parent,  Children",3,"No","Yes"
33," Single Person Over ",1,"Yes","No"
48," Single Person Over ",1,"Yes","No"
31," Single Parent,  Children",3,"No","Yes"
37," Single Person",1,"No","Yes"
32," Single Person",1,"Yes","No"
35," Single Person Over ",1,"Yes","No"
30," Single Person",1,"Yes","No"
32," Single Parent,  Child",3,"No","Yes"
35," Single Parent,  Children",3,"Yes","No"
33," Single Parent,  Child",2,"No","No"
41," Single Person",1,"No","No"
32," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Children",3,"No","Yes"
53," Single Person",1,"Yes","Yes"
36," Single Person",1,"No","Yes"
31," Single Person Over ",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
32," Single Person",1,"No","No"
31," Single Person",1,"No","Yes"
42," Single Person",1,"Yes","No"
41," Single Person",1,"Yes","No"
31," Single Parent,  Children",3,"No","No"
33," Single Parent,  Children",3,"No","Yes"
30," Single Person",1,"No","No"
30," Single Person",1,"No","Yes"
30," Single Person",1,"No","No"
31," Single Person",1,"No","No"
30," Single Person",1,"No","No"
39," Single Parent,  Children",3,"Yes","No"
31," Couple,  Children",4,"No","Yes"
48," Single Person",1,"No","Yes"
31," Single Person Over ",1,"Yes","No"
31," Single Parent,  Children",3,"No","Yes"
31," Single Person Over ",1,"Yes","No"
31," Single Parent,  Child",2,"No","No"
35," Single Person",1,"No","Yes"
33," Single Person",1,"No","Yes"
31," Single Person",1,"No","No"
31," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
34," Couple Only",2,"No","No"
40," Single Person",1,"No","No"
30," Single Person",1,"Yes","Yes"
33," Single Parent,  Children",3,"No","No"
31," Single Parent, > Children",4,"No","No"
32," Single Parent,  Child",2,"No","No"
31," Single Person",1,"Yes","Yes"
32," Single Person",1,"No","Yes"
32," Single Person",1,"Yes","No"
36," Single Person",1,"No","Yes"
31," Single Parent, > Children",6,"No","Yes"
31," Single Person Over ",1,"Yes","No"
30," Single Person",1,"Yes","No"
31," Single Parent, > Children",5,"No","No"
31," Single Person",1,"No","No"
38," Single Person",1,"No","No"
30," Single Person",1,"No","No"
31," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Child",2,"Yes","Yes"
32," Single Parent, > Children",7,"No","No"
31," Single Parent,  Children",3,"Yes","Yes"
33," Single Person",1,"Yes","Yes"
31," Single Person",1,"Yes","No"
32," Single Person Over ",1,"Yes","No"
31," Single Person",1,"No","No"
31," Single Person",1,"No","No"
30," Single Person",1,"No","Yes"
30," Single Parent,  Children",3,"No","Yes"
33," Single Person",1,"No","Yes"
34," Single Person",1,"No","Yes"
38," Single Person",1,"No","No"
37," Single Person",1,"No","Yes"
31," Single Person",1,"No","Yes"
33," Single Parent,  Children",3,"No","No"
30," Single Parent,  Children",3,"No","Yes"
42," Single Person Over ",1,"Yes","Yes"
32," Single Person",1,"Yes","No"
32," Single Person",1,"No","Yes"
31," Single Parent,  Child",2,"No","Yes"
30," Single Person",1,"No","Yes"
31," Single Parent,  Child",3,"Yes","No"
35," Single Person Over ",1,"Yes","No"
39," Single Person Over ",1,"Yes","No"
31," Single Person",1,"Yes","No"
30," Single Parent,  Children",3,"Yes","No"
39," Single Person Over ",1,"No","Yes"
38," Single Person",1,"No","No"
42," Single Person",1,"No","No"
30," Single Person",1,"Yes","No"
49," Single Person Over ",1,"Yes","No"
35," Single Parent,  Child",2,"Yes","Yes"
30," Single Person Over ",1,"Yes","No"
30," Single Parent,  Children",3,"Yes","Yes"
34," Single Person",1,"No","No"
32," Single Person Over ",1,"Yes","No"
32," Single Person",1,"Yes","Yes"
31," Single Person",1,"Yes","No"
33," Single Person Over ",1,"Yes","Yes"
30," Single Person Over ",1,"Yes","No"
30," Single Parent, > Children",6,"No","Yes"
30," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
34," Single Person",1,"No","Yes"
34," Single Parent, > Children",4,"No","No"
30," Single Person Over ",1,"Yes","Yes"
31," Single Person",1,"No","No"
33," Single Person",1,"Yes","Yes"
37," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","No"
39," Single Parent,  Child",2,"No","Yes"
30," Single Person",1,"Yes","No"
52," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
31," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","Yes"
40," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
41," Single Person",1,"No","Yes"
30," Single Person Over ",1,"Yes","No"
31," Single Parent,  Children",3,"No","Yes"
34," Single Parent,  Child",2,"No","Yes"
31," Single Person Over ",1,"Yes","Yes"
53," Other",2,"No","Yes"
53," Single Person",1,"No","No"
33," Single Parent, > Children",5,"No","Yes"
32," Single Person",1,"No","Yes"
31," Single Person",1,"No","Yes"
33," Single Person",1,"Yes","No"
30," Single Parent, > Children",4,"Yes","No"
32," Single Person",1,"No","No"
30," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Child",2,"Yes","No"
30," Single Person Over ",1,"Yes","No"
30," Single Person",1,"Yes","No"
39," Single Person",1,"Yes","Yes"
30," Single Person",1,"Yes","Yes"
35," Single Person",1,"Yes","No"
31," Single Parent, > Children",5,"No","No"
30," Single Person",1,"Yes","Yes"
32," Single Person",1,"Yes","Yes"
30," Single Parent,  Child",2,"No","No"
31," Single Person",1,"No","Yes"
40," Single Person",1,"No","Yes"
37," Single Parent,  Children",3,"No","No"
30," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","Yes"
32," Single Parent,  Children",3,"Yes","No"
39," Single Person Over ",1,"Yes","No"
34," Single Person",1,"No","No"
30," Single Parent,  Child",2,"No","No"
39," Single Person",1,"No","No"
31," Single Parent,  Child",2,"Yes","Yes"
30," Single Person",1,"No","No"
31," Single Person",1,"Yes","Yes"
39," Single Person Over ",1,"Yes","No"
34," Single Person",1,"Yes","No"
30," Single Person Over ",1,"Yes","Yes"
32," Single Person",1,"No","No"
32," Single Parent, > Children",4,"No","No"
36," Single Person",1,"Yes","Yes"
33," Single Person",1,"Yes","Yes"
43," Single Person",1,"Yes","No"
33," Single Parent, > Children",4,"No","Yes"
30," Single Person",1,"No","Yes"
33," Single Person",1,"Yes","No"
53," Single Person",1,"No","Yes"
33," Single Person",1,"No","Yes"
30," Single Person Over ",1,"No","No"
30," Single Person",1,"Yes","Yes"
32," Single Parent,  Child",2,"No","No"
30," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
32," Single Person Over ",1,"Yes","No"
31," Single Person",1,"No","Yes"
30," Single Person Over ",1,"Yes","No"
31," Couple, > Children",5,"No","No"
43," Single Person",1,"No","Yes"
30," Single Person",1,"No","No"
32," Couple Only Over ",2,"Yes","No"
32," Single Person",1,"Yes","Yes"
30," Single Person",1,"Yes","No"
33," Single Person",1,"No","Yes"
33," Single Parent,  Children",3,"No","No"
31," Single Person Over ",1,"Yes","No"
30," Single Parent,  Child",2,"No","Yes"
33," Single Person",1,"No","Yes"
31," Single Parent,  Children",3,"Yes","No"
30," Single Parent, > Children",4,"Yes","Yes"
38," Single Person",1,"No","Yes"
32," Single Person",1,"No","Yes"
31," Single Parent,  Child",2,"No","No"
31," Single Parent,  Child",2,"Yes","Yes"
31," Single Person",1,"No","Yes"
31," Single Person",1,"Yes","Yes"
32," Single Person Over ",1,"Yes","No"
30," Single Person",1,"Yes","Yes"
30," Single Person",1,"No","Yes"
31," Single Person",1,"Yes","No"
43," Single Person",1,"No","No"
30," Single Person",1,"No","No"
31," Single Parent,  Child",2,"No","No"
32," Single Person",1,"No","No"
30," Single Parent,  Children",3,"No","No"
30," Single Person",1,"Yes","Yes"
33," Single Person",1,"Yes","Yes"
31," Single Person",1,"Yes","Yes"
31," Single Person",1,"No","Yes"
33," Single Person",1,"Yes","No"
31," Single Person",1,"No","Yes"
34," Single Person",1,"Yes","No"
32," Single Parent, > Children",5,"No","No"
30," Single Person Over ",1,"Yes","No"
30," Single Person",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
32," Single Person Over ",1,"Yes","No"
38," Single Person",1,"No","Yes"
34," Single Person",1,"No","No"
32," Single Parent,  Child",2,"No","Yes"
45," Single Parent,  Child",2,"Yes","Yes"
47," Single Person",1,"No","No"
33," Single Parent,  Children",3,"No","No"
31," Single Parent,  Children",3,"Yes","Yes"
31," Single Parent,  Child",2,"No","Yes"
32," Single Person",1,"No","No"
31," Single Parent,  Child",2,"No","Yes"
42," Single Person",1,"No","No"
32," Single Parent, > Children",5,"No","No"
31," Single Person",1,"No","No"
31," Single Person",1,"No","Yes"
31," Single Person",1,"Yes","No"
29," Single Person Over ",1,"Yes","Yes"
32," Couple, > Children",5,"Yes","Yes"
31," Single Parent, > Children",4,"Yes","Yes"
31," Single Person Over ",1,"Yes","No"
32," Couple,  Children",4,"No","No"
39," Single Person Over ",1,"Yes","No"
30," Single Person",1,"No","Yes"
38," Single Person",1,"No","No"
32," Single Parent,  Child",2,"No","Yes"
47," Single Person",1,"No","No"
30," Single Person",1,"No","No"
30," Single Person",1,"Yes","Yes"
37," Single Person",1,"No","Yes"
30," Single Parent,  Children",3,"No","Yes"
30," Single Person Over ",1,"Yes","No"
32," Single Person Over ",1,"Yes","No"
30," Single Person",1,"No","Yes"
31," Couple Only",2,"Yes","No"
31," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","No"
43," Single Parent,  Child",2,"No","No"
30," Single Person",1,"Yes","Yes"
30," Single Person",1,"No","Yes"
30," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","Yes"
30," Single Parent,  Child",2,"No","No"
35," Single Person Over ",1,"Yes","No"
30," Single Person",1,"No","No"
40," Single Person",1,"Yes","No"
34," Single Parent, > Children",5,"No","Yes"
41," Single Person Over ",1,"Yes","No"
48," Single Person Over ",1,"Yes","Yes"
57," Single Person",1,"No","Yes"
29," Single Person",1,"No","No"
31," Single Parent,  Children",3,"No","Yes"
31," Single Person",1,"No","No"
30," Single Parent, > Children",6,"No","Yes"
37," Single Person Over ",1,"Yes","No"
32," Single Person",1,"Yes","No"
32," Single Parent,  Child",2,"No","Yes"
52," Single Person",1,"Yes","Yes"
56," Single Person",1,"Yes","Yes"
34," Single Parent, > Children",7,"No","Yes"
29," Single Parent,  Child",2,"No","Yes"
32," Single Person",1,"No","Yes"
33," Single Person",1,"No","No"
33," Single Person Over ",1,"Yes","No"
29," Single Person Over ",1,"Yes","No"
54," Single Person",1,"Yes","No"
30," Single Person",1,"Yes","No"
30," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
32," Single Parent,  Child",2,"No","Yes"
35," Single Person",1,"Yes","Yes"
31," Single Person Over ",1,"Yes","Yes"
31," Single Parent, > Children",5,"No","No"
29," Single Parent,  Child",4,"No","No"
35," Single Person",1,"Yes","No"
32," Single Parent, > Children",8,"Yes","No"
37," Single Person Over ",1,"Yes","No"
36," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","Yes"
31," Single Person",1,"No","No"
29," Single Parent, > Children",5,"No","No"
35," Single Person",1,"Yes","Yes"
31," Single Person",1,"No","Yes"
32," Single Parent, > Children",4,"No","Yes"
35," Single Person Over ",1,"Yes","No"
29," Single Person",1,"No","Yes"
37," Single Person",1,"No","No"
42," Single Person",1,"Yes","No"
41," Single Person",1,"No","Yes"
31," Single Person Over ",1,"Yes","No"
56," Single Person",1,"No","Yes"
56," Single Person",1,"Yes","No"
30," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","Yes"
31," Single Parent, > Children",4,"No","Yes"
46," Single Person",1,"No","Yes"
58," Single Person",1,"Yes","Yes"
54," Single Parent, > Children",4,"No","No"
29," Single Parent, > Children",4,"No","Yes"
51," Single Person",1,"No","No"
51," Single Person",1,"No","No"
29," Single Person",1,"No","Yes"
31," Single Person",1,"Yes","No"
32," Single Parent,  Child",2,"No","Yes"
31," Single Person",1,"No","No"
30," Single Parent,  Child",2,"No","Yes"
36," Single Person",1,"Yes","Yes"
31," Single Parent,  Children",3,"No","Yes"
31," Single Person",1,"Yes","No"
31," Single Person",1,"No","Yes"
30," Single Parent,  Child",2,"No","Yes"
29," Single Person",1,"No","Yes"
41," Single Person",1,"Yes","Yes"
29," Single Person",1,"No","Yes"
37," Single Parent,  Child",2,"No","No"
29," Single Person",1,"No","No"
41," Single Parent,  Children",3,"No","Yes"
34," Single Person",1,"No","Yes"
33," Single Person",1,"Yes","No"
31," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
31," Single Person",1,"Yes","No"
34," Single Person",1,"No","Yes"
32," Single Person Over ",1,"Yes","No"
30," Couple Only Over ",2,"Yes","No"
31," Single Person Over ",1,"No","No"
37," Couple,  Children",4,"Yes","No"
82," Single Parent, > Children",4,"Yes","Yes"
36," Single Person",1,"No","Yes"
30," Single Parent,  Child",2,"No","Yes"
31," Single Person Over ",1,"Yes","No"
35," Single Person",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
30," Single Person",1,"No","Yes"
30," Other",2,"Yes","Yes"
29," Single Person",1,"No","No"
30," Single Person",1,"No","Yes"
29," Single Person",1,"Yes","No"
30," Single Parent,  Child",2,"No","Yes"
30," Single Person",1,"No","No"
30," Single Parent,  Children",3,"No","Yes"
29," Single Parent,  Children",3,"No","Yes"
29," Single Person Over ",1,"Yes","No"
29," Single Person",1,"No","Yes"
35," Single Person",1,"No","No"
31," Single Person Over ",1,"Yes","No"
31," Single Person",1,"Yes","Yes"
38," Single Person",1,"No","Yes"
29," Single Person",1,"No","No"
31," Single Person",1,"Yes","Yes"
38," Single Parent,  Children",3,"No","Yes"
42," Single Person",1,"Yes","No"
29," Single Person",1,"No","Yes"
29," Single Person",1,"No","No"
36," Single Person Over ",1,"Yes","No"
37," Single Person",1,"No","Yes"
29," Single Person Over ",1,"No","Yes"
46," Single Parent, > Children",4,"No","Yes"
45," Single Person",1,"No","No"
32," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","No"
30," Single Person",1,"No","Yes"
34," Single Person Over ",1,"Yes","No"
55," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","No"
29," Single Parent,  Children",3,"No","Yes"
30," Single Person Over ",1,"Yes","No"
39," Single Person",1,"No","Yes"
29," Single Person",1,"No","Yes"
53," Single Person",1,"No","Yes"
30," Single Person Over ",1,"Yes","No"
31," Single Person Over ",1,"Yes","Yes"
31," Single Parent, > Children",4,"Yes","Yes"
29," Single Person",1,"Yes","Yes"
29," Single Person Over ",1,"Yes","No"
29," Single Person",1,"No","Yes"
32," Single Person Over ",1,"Yes","No"
40," Single Person Over ",1,"Yes","No"
52," Single Parent, > Children",8,"No","No"
43," Single Person Over ",1,"Yes","No"
30," Other",2,"No","No"
49," Single Person",1,"Yes","No"
36," Single Person Over ",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
32," Single Parent,  Child",2,"No","Yes"
41," Single Parent, > Children",4,"No","No"
49," Single Person",1,"Yes","Yes"
32," Single Person",1,"Yes","No"
49," Single Person Over ",1,"Yes","Yes"
29," Single Person",1,"No","Yes"
29," Single Person",1,"No","Yes"
30," Single Person",1,"Yes","No"
29," Single Parent,  Child",2,"Yes","No"
29," Single Person Over ",1,"Yes","Yes"
29," Single Parent,  Child",2,"No","Yes"
29," Single Parent,  Child",2,"No","No"
39," Single Parent,  Children",3,"No","No"
29," Single Person",1,"No","Yes"
31," Single Person Over ",1,"Yes","No"
31," Single Person",1,"Yes","No"
29," Single Person Over ",1,"Yes","Yes"
29," Single Person",1,"No","No"
48," Single Person Over ",1,"Yes","No"
50," Single Person",1,"Yes","No"
29," Single Parent,  Child",2,"No","No"
49," Other",2,"No","Yes"
29," Single Person",1,"No","Yes"
48," Single Person",1,"Yes","Yes"
30," Single Person",1,"No","Yes"
29," Single Parent,  Children",3,"No","Yes"
33," Single Parent,  Child",2,"Yes","Yes"
50," Single Parent,  Child",2,"No","No"
29," Single Parent,  Children",3,"No","Yes"
35," Single Parent, > Children",5,"No","Yes"
38," Single Person",1,"No","Yes"
49," Single Person",1,"No","Yes"
30," Single Person",1,"No","No"
31," Single Person",1,"Yes","No"
29," Single Person",1,"No","Yes"
46," Single Person",1,"No","Yes"
31," Single Person",1,"No","No"
48," Single Person",1,"No","No"
35," Single Person Over ",1,"Yes","No"
31," Single Person",1,"No","No"
32," Single Parent, > Children",5,"Yes","Yes"
34," Couple Only",2,"No","Yes"
29," Single Person",1,"No","Yes"
41," Single Person Over ",1,"Yes","Yes"
29," Single Person",1,"No","Yes"
37," Single Person",1,"No","Yes"
31," Single Parent,  Child",2,"No","Yes"
29," Single Person",1,"No","Yes"
38," Single Person",1,"Yes","Yes"
30," Single Person",1,"No","Yes"
33," Single Parent, > Children",4,"Yes","Yes"
30," Single Parent,  Children",3,"Yes","Yes"
29," Single Parent,  Child",3,"Yes","No"
29," Single Parent,  Child",2,"No","No"
29," Single Parent,  Child",2,"No","Yes"
29," Single Person",1,"No","Yes"
39," Single Person Over ",1,"Yes","No"
31," Couple, > Children",6,"Yes","Yes"
47," Single Person",1,"No","Yes"
35," Single Parent,  Child",2,"No","No"
30," Single Person",1,"No","Yes"
31," Single Person",1,"No","Yes"
36," Single Person",1,"No","Yes"
28," Single Parent,  Child",2,"No","No"
32," Single Person",1,"No","No"
35," Single Person",1,"No","No"
29," Single Parent,  Child",2,"No","Yes"
32," Single Person",1,"No","No"
30," Single Person Over ",1,"Yes","Yes"
28," Single Person",1,"Yes","Yes"
39," Single Person",1,"Yes","Yes"
34," Single Person",1,"No","Yes"
43," Single Person Over ",1,"Yes","No"
31," Single Person",1,"Yes","No"
30," Couple Only Over ",2,"Yes","No"
49," Single Person",1,"No","Yes"
29," Single Person",1,"No","Yes"
35," Single Person Over ",1,"Yes","No"
35," Single Parent,  Children",3,"Yes","Yes"
28," Single Parent,  Child",2,"No","Yes"
45," Single Parent, > Children",5,"No","Yes"
54," Single Person",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
30," Couple Only",2,"Yes","Yes"
30," Single Person Over ",1,"Yes","No"
30," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","Yes"
29," Single Parent,  Child",2,"Yes","Yes"
34," Single Person Over ",1,"Yes","No"
28," Single Person",1,"No","Yes"
29," Single Person",1,"No","No"
30," Single Parent,  Children",3,"No","No"
29," Single Person",1,"No","Yes"
41," Single Person Over ",1,"Yes","No"
32," Single Parent,  Children",3,"Yes","Yes"
30," Single Person Over ",1,"Yes","Yes"
30," Single Person",1,"Yes","No"
29," Single Parent,  Children",3,"No","Yes"
30," Single Person",1,"No","Yes"
29," Single Person",1,"No","Yes"
28," Single Parent,  Children",5,"No","Yes"
30," Single Parent,  Children",3,"No","Yes"
44," Single Person",1,"Yes","Yes"
28," Single Person",1,"Yes","Yes"
31," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","Yes"
30," Single Person",1,"Yes","No"
31," Single Person",1,"Yes","Yes"
56," Single Person",1,"Yes","No"
30," Single Person",1,"No","No"
30," Single Person",1,"No","Yes"
29," Single Parent,  Child",2,"No","No"
30," Single Person",1,"Yes","Yes"
31," Single Person",1,"Yes","No"
28," Couple,  Children",4,"Yes","No"
30," Single Parent,  Child",2,"Yes","No"
34," Single Parent,  Children",3,"Yes","Yes"
28," Single Parent, > Children",4,"Yes","No"
30," Single Parent,  Child",2,"No","No"
28," Single Person",1,"No","No"
28," Single Person",1,"No","Yes"
35," Single Person Over ",1,"Yes","No"
29," Single Parent,  Children",3,"No","No"
29," Single Person",1,"No","No"
30," Single Person Over ",1,"Yes","No"
33," Single Person Over ",1,"Yes","No"
34," Single Person",1,"No","Yes"
28," Single Parent,  Child",2,"Yes","Yes"
28," Single Parent, > Children",4,"No","Yes"
29," Single Parent,  Child",2,"No","No"
30," Single Person Over ",1,"Yes","No"
29," Single Person",1,"Yes","Yes"
29," Single Parent, > Children",4,"No","No"
28," Single Person",1,"Yes","No"
41," Single Parent, > Children",7,"No","No"
28," Single Parent, > Children",5,"No","Yes"
28," Single Person Over ",1,"Yes","No"
29," Single Person",1,"No","Yes"
28," Single Person",1,"Yes","No"
45," Single Person Over ",1,"Yes","No"
34," Single Person",1,"No","Yes"
28," Single Person",1,"No","Yes"
38," Single Person",1,"No","No"
40," Single Person",1,"No","No"
34," Single Person Over ",1,"Yes","No"
29," Single Parent,  Children",3,"No","Yes"
30," Single Parent,  Child",2,"Yes","Yes"
53," Single Person",1,"No","Yes"
32," Single Person",1,"No","No"
29," Single Person",1,"No","Yes"
28," Single Parent, > Children",7,"Yes","No"
33," Single Person Over ",1,"Yes","No"
39," Couple Only Over ",2,"Yes","No"
38," Single Person Over ",1,"Yes","No"
29," Single Person",1,"No","Yes"
28," Single Parent, > Children",4,"No","Yes"
28," Single Person Over ",1,"Yes","No"
32," Single Person Over ",1,"Yes","No"
31," Single Person Over ",1,"Yes","No"
31," Single Person",1,"No","No"
28," Single Parent,  Children",3,"No","Yes"
28," Single Person",1,"No","Yes"
37," Single Person",1,"Yes","Yes"
29," Single Person",1,"No","Yes"
28," Single Person Over ",1,"Yes","Yes"
32," Single Person",1,"Yes","Yes"
28," Single Person",1,"No","Yes"
28," Single Parent,  Child",2,"Yes","Yes"
28," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","No"
28," Single Person",1,"No","Yes"
29," Single Person Over ",1,"No","Yes"
29," Single Person",1,"Yes","Yes"
32," Single Person Over ",1,"Yes","Yes"
28," Single Person",1,"No","No"
35," Single Parent,  Children",3,"No","Yes"
29," Single Person",1,"Yes","No"
28," Single Person Over ",1,"Yes","Yes"
42," Single Person",1,"Yes","No"
28," Single Parent, > Children",5,"No","Yes"
31," Single Parent,  Children",3,"No","Yes"
32," Couple Only Over ",2,"Yes","No"
28," Single Parent,  Child",2,"Yes","Yes"
30," Single Person",1,"Yes","Yes"
28," Single Person",1,"No","Yes"
28," Single Person",1,"No","Yes"
30," Single Person Over ",1,"Yes","No"
34," Single Person",1,"Yes","Yes"
29," Single Person",1,"No","No"
28," Single Person",1,"No","Yes"
30," Single Person Over ",1,"Yes","No"
34," Single Person Over ",1,"Yes","No"
28," Single Parent,  Child",2,"No","Yes"
28," Single Person",1,"No","Yes"
32," Single Parent,  Children",3,"Yes","Yes"
28," Single Person Over ",1,"Yes","Yes"
28," Single Parent, > Children",6,"No","No"
38," Single Person",1,"No","Yes"
29," Single Person Over ",1,"Yes","No"
29," Single Parent, > Children",4,"No","No"
28," Single Person",1,"Yes","Yes"
31," Single Person Over ",1,"Yes","Yes"
30," Single Person",1,"Yes","No"
29," Couple Only Over ",2,"Yes","No"
28," Single Person Over ",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
28," Single Person",1,"No","No"
29," Single Parent, > Children",4,"No","Yes"
28," Single Person Over ",1,"Yes","Yes"
28," Single Person",1,"Yes","No"
30," Single Parent,  Child",2,"No","No"
29," Single Parent,  Children",3,"No","Yes"
30," Single Person",1,"No","No"
44," Single Person",1,"No","Yes"
28," Single Parent,  Children",3,"Yes","Yes"
30," Single Person",1,"Yes","No"
28," Single Person",1,"No","No"
28," Single Parent, > Children",9,"Yes","No"
28," Single Parent, > Children",4,"No","Yes"
37," Single Parent,  Child",2,"No","Yes"
37," Single Person Over ",1,"Yes","No"
29," Single Parent,  Children",3,"No","Yes"
28," Single Parent, > Children",5,"No","Yes"
28," Single Person Over ",1,"Yes","Yes"
31," Single Parent,  Children",3,"No","Yes"
52," Single Person",1,"Yes","No"
28," Single Person Over ",1,"Yes","No"
36," Single Person",1,"No","No"
29," Single Person",1,"No","Yes"
51," Single Person",1,"No","Yes"
30," Single Parent,  Children",3,"No","Yes"
28," Single Parent, > Children",5,"No","Yes"
29," Single Parent,  Child",2,"Yes","Yes"
28," Single Person Over ",1,"Yes","No"
28," Single Parent, > Children",4,"Yes","Yes"
28," Single Person Over ",1,"Yes","No"
47," Single Person Over ",1,"Yes","No"
28," Single Parent,  Child",2,"No","Yes"
29," Single Parent,  Children",3,"No","Yes"
28," Single Person",1,"No","No"
28," Single Person",1,"Yes","No"
28," Single Person Over ",1,"Yes","No"
28," Single Parent, > Children",6,"No","Yes"
30," Single Parent,  Child",2,"No","No"
28," Single Parent,  Children",3,"No","Yes"
28," Single Parent, > Children",6,"No","Yes"
31," Single Person",1,"Yes","No"
29," Single Person",1,"Yes","Yes"
35," Single Person Over ",1,"Yes","Yes"
55," Single Person",1,"Yes","Yes"
52," Single Person",1,"No","No"
31," Single Person Over ",1,"Yes","Yes"
29," Single Person",1,"No","Yes"
34," Single Person",1,"No","No"
30," Single Person",1,"Yes","Yes"
33," Single Person Over ",1,"Yes","No"
28," Single Person",1,"No","No"
28," Single Person Over ",1,"Yes","No"
28," Single Person Over ",1,"Yes","Yes"
28," Single Parent,  Children",3,"No","Yes"
28," Single Person",1,"No","Yes"
28," Single Person",1,"No","Yes"
40," Single Person",1,"No","Yes"
28," Single Person",1,"Yes","No"
28," Single Person",1,"No","Yes"
29," Single Parent, > Children",4,"No","No"
28," Single Person",1,"Yes","No"
31," Single Person Over ",1,"Yes","Yes"
